"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"ESP32-WROOM-32D";1;"ESP32-WROOM-32E";;;
2;"J5";"Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical";1;"Conn_01x06_Pin";;;
3;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"R";;;
4;"C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uf";;;
5;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uf";;;
6;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uf";;;
7;"C2";"CP_Elec_8x5.4";1;"100nF";;;
8;"TH1";"R_0508_1220Metric";1;"Thermistor";;;
9;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100K";;;
10;"R5";"R_0508_1220Metric";1;"2.2K";;;
11;"L2,L1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"3.3uH";;;
12;"C5";"CP_Elec_8x5.4";1;"0.001uF";;;
13;"R3,R9";"R_0508_1220Metric";2;"5.1K";;;
14;"R4,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"850";;;
15;"D1,D2";"LED_0805_2012Metric";2;"LED_Small";;;
16;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5k";;;
17;"J3";"BatteryHolder_Keystone_1057_1x2032";1;"Battery Connector";;;
18;"R6,R8,R2";"R_0508_1220Metric";3;"1.5K";;;
19;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20k";;;
20;"U2";"IC_TPS2121RUXR";1;"TPS2121RUXR";;;
21;"TP3";"TestPoint_Pad_D2.0mm";1;"BUCK_IN";;;
22;"C6,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7uF";;;
23;"J1";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"Paddle Sensor";;;
24;"U5";"DCK0006A";1;"TPS61222DCKR";;;
25;"U4";"SOT-23-5";1;"MCP73831-2-OT";;;
26;"C4";"CP_Elec_8x5.4";1;"22uF";;;
27;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
28;"TP1";"TestPoint_Pad_D2.0mm";1;"3.7+";;;
29;"C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"40uF";;;
30;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
31;"C3";"CP_Elec_8x5.4";1;"440uf";;;
32;"TP2";"TestPoint_Pad_D2.0mm";1;"3v3";;;
33;"J2";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"Motion Sensor";;;
34;"R1";"R_0508_1220Metric";1;"10K";;;
35;"C1";"CP_Elec_8x5.4";1;"0.1uF";;;
36;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120k";;;
37;"U3";"SOT-563";1;"AP62150Z6";;;
38;"J4";"BarrelJack_CUI_PJ-036AH-SMT_Horizontal";1;"Barrel_Jack";;;
